Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.0169643	1	0	0	1	0	-79.4232
0.0169643	1	0	0	2	0	-89.0202
0.0169643	1	0	0	3	0	-68.4429
0.0169643	1	0	0	4	0	-62.4301
0.0169643	1	0	0	5	0	-65.7281
0.0169643	1	0	0	6	0	-71.9303
0.0169643	1	0	0	7	0	-70.7764
0.0169643	1	0	0	8	0	-54.4914
0.0169643	1	0	0	9	0	-72.8155
0.0169643	1	0	0	10	0	-72.9509
0.0169643	1	0	0	11	0	-75.2934
0.0169643	1	0	0	12	0	-57.7994
0.0169643	1	0	0	13	0	-89.2001
0.0169643	1	0	0	14	0	-63.0225
0.0169643	1	0	0	15	0	-55.3897
0.0169643	1	0	0	16	0	-77.7872
0.0169643	1	0	0	17	0	-73.1548
0.0169643	1	0	0	18	0	-73.4659
0.0169643	1	0	0	19	0	-64.7831
0.0169643	1	0	0	20	0	-57.727
0.101464	1	0	0	1	0	-79.4232
0.101464	1	0	0	2	0	-89.0202
0.101464	1	0	0	3	0	-68.4429
0.101464	1	0	0	4	0	-62.4301
0.101464	1	0	0	5	0	-65.7281
0.101464	1	0	0	6	0	-71.9303
0.101464	1	0	0	7	0	-70.7764
0.101464	1	0	0	8	0	-54.4914
0.101464	1	0	0	9	0	-72.8155
0.101464	1	0	0	10	0	-72.9509
0.101464	1	0	0	11	0	-75.2934
0.101464	1	0	0	12	0	-57.7994
0.101464	1	0	0	13	0	-89.2001
0.101464	1	0	0	14	0	-63.0225
0.101464	1	0	0	15	0	-55.3897
0.101464	1	0	0	16	0	-77.7872
0.101464	1	0	0	17	0	-73.1548
0.101464	1	0	0	18	0	-73.4659
0.101464	1	0	0	19	0	-64.7831
0.101464	1	0	0	20	0	-57.727
0.103536	1	0	0	1	0	-79.4232
0.103536	1	0	0	2	0	-89.0202
0.103536	1	0	0	3	0	-68.4429
0.103536	1	0	0	4	0	-62.4301
0.103536	1	0	0	5	0	-65.7281
0.103536	1	0	0	6	0	-71.9303
0.103536	1	0	0	7	0	-70.7764
0.103536	1	0	0	8	0	-54.4914
0.103536	1	0	0	9	0	-72.8155
0.103536	1	0	0	10	0	-72.9509
0.103536	1	0	0	11	0	-75.2934
0.103536	1	0	0	12	0	-57.7994
0.103536	1	0	0	13	0	-89.2001
0.103536	1	0	0	14	0	-63.0225
0.103536	1	0	0	15	0	-55.3897
0.103536	1	0	0	16	0	-77.7872
0.103536	1	0	0	17	0	-73.1548
0.103536	1	0	0	18	0	-73.4659
0.103536	1	0	0	19	0	-64.7831
0.103536	1	0	0	20	0	-57.727
0.161464	1	0	0	1	0	-79.4232
0.161464	1	0	0	2	0	-89.0202
0.161464	1	0	0	3	0	-68.4429
0.161464	1	0	0	4	0	-62.4301
0.161464	1	0	0	5	0	-65.7281
0.161464	1	0	0	6	0	-71.9303
0.161464	1	0	0	7	0	-70.7764
0.161464	1	0	0	8	0	-54.4914
0.161464	1	0	0	9	0	-72.8155
0.161464	1	0	0	10	0	-72.9509
0.161464	1	0	0	11	0	-75.2934
0.161464	1	0	0	12	0	-57.7994
0.161464	1	0	0	13	0	-89.2001
0.161464	1	0	0	14	0	-63.0225
0.161464	1	0	0	15	0	-55.3897
0.161464	1	0	0	16	0	-77.7872
0.161464	1	0	0	17	0	-73.1548
0.161464	1	0	0	18	0	-73.4659
0.161464	1	0	0	19	0	-64.7831
0.161464	1	0	0	20	0	-57.727
0.163536	1	0	0	1	0	-79.4232
0.163536	1	0	0	2	0	-89.0202
0.163536	1	0	0	3	0	-68.4429
0.163536	1	0	0	4	0	-62.4301
0.163536	1	0	0	5	0	-65.7281
0.163536	1	0	0	6	0	-71.9303
0.163536	1	0	0	7	0	-70.7764
0.163536	1	0	0	8	0	-54.4914
