time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.274064	2	18	3	32	0.00406428
0.274064	2	19	3	32	0.00406428
0.274064	2	7	3	32	0.00406428
0.274064	2	6	3	32	0.00406428
0.274064	2	5	3	32	0.00406428
0.274064	2	4	3	32	0.00406428
0.274064	2	3	3	32	0.00406428
0.274064	2	2	3	32	0.00406428
0.274064	2	1	3	32	0.00406428
0.284064	2	8	3	32	0.00406428
0.284064	2	9	3	32	0.00406428
0.284064	2	10	3	32	0.00406428
0.284064	2	11	3	32	0.00406428
0.284064	2	12	3	32	0.00406428
0.284064	2	13	3	32	0.00406428
0.284064	2	14	3	32	0.00406428
0.284064	2	15	3	32	0.00406428
0.284064	2	16	3	32	0.00406428
0.284064	2	17	3	32	0.00406428
0.284064	2	18	3	32	0.00406428
0.284064	2	19	3	32	0.00406428
0.284064	2	7	3	32	0.00406428
0.284064	2	6	3	32	0.00406428
0.284064	2	5	3	32	0.00406428
0.284064	2	4	3	32	0.00406428
0.284064	2	3	3	32	0.00406428
0.284064	2	2	3	32	0.00406428
0.284064	2	1	3	32	0.00406428
0.294064	2	8	3	32	0.00406428
0.294064	2	9	3	32	0.00406428
0.294064	2	10	3	32	0.00406428
0.294064	2	11	3	32	0.00406428
0.294064	2	12	3	32	0.00406428
0.294064	2	13	3	32	0.00406428
0.294064	2	14	3	32	0.00406428
0.294064	2	15	3	32	0.00406428
0.294064	2	16	3	32	0.00406428
0.294064	2	17	3	32	0.00406428
0.294064	2	18	3	32	0.00406428
0.294064	2	19	3	32	0.00406428
0.294064	2	7	3	32	0.00406428
0.294064	2	6	3	32	0.00406428
0.294064	2	5	3	32	0.00406428
0.294064	2	4	3	32	0.00406428
0.294064	2	3	3	32	0.00406428
0.294064	2	2	3	32	0.00406428
0.294064	2	1	3	32	0.00406428
0.304064	2	8	3	32	0.00406428
0.304064	2	9	3	32	0.00406428
0.304064	2	10	3	32	0.00406428
0.304064	2	11	3	32	0.00406428
0.304064	2	12	3	32	0.00406428
0.304064	2	13	3	32	0.00406428
0.304064	2	14	3	32	0.00406428
0.304064	2	15	3	32	0.00406428
0.304064	2	16	3	32	0.00406428
0.304064	2	17	3	32	0.00406428
0.304064	2	18	3	32	0.00406428
0.304064	2	19	3	32	0.00406428
0.304064	2	7	3	32	0.00406428
0.304064	2	6	3	32	0.00406428
0.304064	2	5	3	32	0.00406428
0.304064	2	4	3	32	0.00406428
0.304064	2	3	3	32	0.00406428
0.304064	2	2	3	32	0.00406428
0.304064	2	1	3	32	0.00406428
0.314064	2	8	3	32	0.00406428
0.314064	2	9	3	32	0.00406428
0.314064	2	10	3	32	0.00406428
0.314064	2	11	3	32	0.00406428
0.314064	2	12	3	32	0.00406428
0.314064	2	13	3	32	0.00406428
0.314064	2	14	3	32	0.00406428
0.314064	2	15	3	32	0.00406428
0.314064	2	16	3	32	0.00406428
0.314064	2	17	3	32	0.00406428
0.314064	2	18	3	32	0.00406428
0.314064	2	19	3	32	0.00406428
0.314064	2	7	3	32	0.00406428
0.314064	2	6	3	32	0.00406428
0.314064	2	5	3	32	0.00406428
0.314064	2	4	3	32	0.00406428
0.314064	2	3	3	32	0.00406428
0.314064	2	2	3	32	0.00406428
0.314064	2	1	3	32	0.00406428
0.324064	2	8	3	32	0.00406428
0.324064	2	9	3	32	0.00406428
0.324064	2	10	3	32	0.00406428
0.324064	2	11	3	32	0.00406428
0.324064	2	12	3	32	0.00406428
0.324064	2	13	3	32	0.00406428
0.324064	2	14	3	32	0.00406428
0.324064	2	15	3	32	0.00406428
0.324064	2	16	3	32	0.00406428
0.324064	2	17	3	32	0.00406428
0.324064	2	18	3	32	0.00406428
0.324064	2	19	3	32	0.00406428
0.324064	2	7	3	32	0.00406428
0.324064	2	6	3	32	0.00406428
0.324064	2	5	3	32	0.00406428
0.324064	2	4	3	32	0.00406428
0.324064	2	3	3	32	0.00406428
0.324064	2	2	3	32	0.00406428
0.324064	2	1	3	32	0.00406428
0.334064	2	8	3	32	0.00406428
0.334064	2	9	3	32	0.00406428
0.334064	2	10	3	32	0.00406428
0.334064	2	11	3	32	0.00406428
0.334064	2	12	3	32	0.00406428
0.334064	2	13	3	32	0.00406428
0.334064	2	14	3	32	0.00406428
0.334064	2	15	3	32	0.00406428
0.334064	2	16	3	32	0.00406428
0.334064	2	17	3	32	0.00406428
0.334064	2	18	3	32	0.00406428
0.334064	2	19	3	32	0.00406428
0.334064	2	7	3	32	0.00406428
0.334064	2	6	3	32	0.00406428
0.334064	2	5	3	32	0.00406428
0.334064	2	4	3	32	0.00406428
0.334064	2	3	3	32	0.00406428
0.334064	2	2	3	32	0.00406428
0.334064	2	1	3	32	0.00406428
0.344064	2	8	3	32	0.00406428
0.344064	2	9	3	32	0.00406428
0.344064	2	10	3	32	0.00406428
0.344064	2	11	3	32	0.00406428
0.344064	2	12	3	32	0.00406428
0.344064	2	13	3	32	0.00406428
0.344064	2	14	3	32	0.00406428
0.344064	2	15	3	32	0.00406428
0.344064	2	16	3	32	0.00406428
0.344064	2	17	3	32	0.00406428
0.344064	2	18	3	32	0.00406428
0.344064	2	19	3	32	0.00406428
0.344064	2	7	3	32	0.00406428
0.344064	2	6	3	32	0.00406428
