Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.0300357	2	12	0	0	27.4495
0.0300357	2	13	0	0	32.5291
0.0300357	2	14	0	0	33.8275
0.0300357	2	15	0	0	52.7817
0.0300357	2	16	0	0	12.8905
0.0300357	2	17	0	0	15.4876
0.0300357	2	18	0	0	18.4815
0.0300357	2	19	0	0	36.3042
0.0300357	2	20	0	0	-4.05045
0.0300357	2	7	0	0	29.1533
0.0300357	2	6	0	0	43.078
0.0300357	2	5	0	0	24.9194
0.0300357	2	4	0	0	30.4839
0.0300357	2	3	0	0	22.8898
0.0300357	2	2	0	0	22.7272
0.0300357	2	1	0	0	35.2142
0.0350357	2	8	0	0	16.9309
0.0350357	2	9	0	0	6.09893
0.0350357	2	10	0	0	10.227
0.0350357	2	11	0	0	30.9432
0.0350357	2	12	0	0	27.4495
0.0350357	2	13	0	0	32.5291
0.0350357	2	14	0	0	33.8275
0.0350357	2	15	0	0	52.7817
0.0350357	2	16	0	0	12.8905
0.0350357	2	17	0	0	15.4876
0.0350357	2	18	0	0	18.4815
0.0350357	2	19	0	0	36.3042
0.0350357	2	20	0	0	-4.05045
0.0350357	2	7	0	0	29.1533
0.0350357	2	6	0	0	43.078
0.0350357	2	5	0	0	24.9194
0.0350357	2	4	0	0	30.4839
0.0350357	2	3	0	0	22.8898
0.0350357	2	2	0	0	22.7272
0.0350357	2	1	0	0	35.2142
0.0400357	2	8	0	0	16.9309
0.0400357	2	9	0	0	6.09893
0.0400357	2	10	0	0	10.227
0.0400357	2	11	0	0	30.9432
0.0400357	2	12	0	0	27.4495
0.0400357	2	13	0	0	32.5291
0.0400357	2	14	0	0	33.8275
0.0400357	2	15	0	0	52.7817
0.0400357	2	16	0	0	12.8905
0.0400357	2	17	0	0	15.4876
0.0400357	2	18	0	0	18.4815
0.0400357	2	19	0	0	36.3042
0.0400357	2	20	0	0	-4.05045
0.0400357	2	7	0	0	29.1533
0.0400357	2	6	0	0	43.078
0.0400357	2	5	0	0	24.9194
0.0400357	2	4	0	0	30.4839
0.0400357	2	3	0	0	22.8898
0.0400357	2	2	0	0	22.7272
0.0400357	2	1	0	0	35.2142
0.0450357	2	8	0	0	16.9309
0.0450357	2	9	0	0	6.09893
0.0450357	2	10	0	0	10.227
0.0450357	2	11	0	0	30.9432
0.0450357	2	12	0	0	27.4495
0.0450357	2	13	0	0	32.5291
0.0450357	2	14	0	0	33.8275
0.0450357	2	15	0	0	52.7817
0.0450357	2	16	0	0	12.8905
0.0450357	2	17	0	0	15.4876
0.0450357	2	18	0	0	18.4815
0.0450357	2	19	0	0	36.3042
0.0450357	2	20	0	0	-4.05045
0.0450357	2	7	0	0	29.1533
0.0450357	2	6	0	0	43.078
0.0450357	2	5	0	0	24.9194
0.0450357	2	4	0	0	30.4839
0.0450357	2	3	0	0	22.8898
0.0450357	2	2	0	0	22.7272
0.0450357	2	1	0	0	35.2142
0.0500357	2	8	0	0	16.9309
0.0500357	2	9	0	0	6.09893
0.0500357	2	10	0	0	10.227
0.0500357	2	11	0	0	30.9432
0.0500357	2	12	0	0	27.4495
0.0500357	2	13	0	0	32.5291
0.0500357	2	14	0	0	33.8275
0.0500357	2	15	0	0	52.7817
0.0500357	2	16	0	0	12.8905
0.0500357	2	17	0	0	15.4876
0.0500357	2	18	0	0	18.4815
0.0500357	2	19	0	0	36.3042
0.0500357	2	20	0	0	-4.05045
0.0500357	2	7	0	0	29.1533
0.0500357	2	6	0	0	43.078
0.0500357	2	5	0	0	24.9194
0.0500357	2	4	0	0	30.4839
0.0500357	2	3	0	0	22.8898
0.0500357	2	2	0	0	22.7272
0.0500357	2	1	0	0	35.2142
0.0550357	2	8	0	0	16.9309
0.0550357	2	9	0	0	6.09893
0.0550357	2	10	0	0	10.227
0.0550357	2	11	0	0	30.9432
0.0550357	2	12	0	0	27.4495
0.0550357	2	13	0	0	32.5291
0.0550357	2	14	0	0	33.8275
0.0550357	2	15	0	0	52.7817
0.0550357	2	16	0	0	12.8905
0.0550357	2	17	0	0	15.4876
0.0550357	2	18	0	0	18.4815
0.0550357	2	19	0	0	36.3042
0.0550357	2	20	0	0	-4.05045
0.0550357	2	7	0	0	29.1533
0.0550357	2	6	0	0	43.078
0.0550357	2	5	0	0	24.9194
0.0550357	2	4	0	0	30.4839
0.0550357	2	3	0	0	22.8898
0.0550357	2	2	0	0	22.7272
0.0550357	2	1	0	0	35.2142
0.0600357	2	8	0	0	16.9309
0.0600357	2	9	0	0	6.09893
0.0600357	2	10	0	0	10.227
0.0600357	2	11	0	0	30.9432
0.0600357	2	12	0	0	27.4495
0.0600357	2	13	0	0	32.5291
0.0600357	2	14	0	0	33.8275
0.0600357	2	15	0	0	52.7817
0.0600357	2	16	0	0	12.8905
0.0600357	2	17	0	0	15.4876
0.0600357	2	18	0	0	18.4815
0.0600357	2	19	0	0	36.3042
0.0600357	2	20	0	0	-4.05045
